"district","grape_type_code","grape_type_name","variety_code","variety_name","wt_price","brix_code","tons","row_type_code","row_type_name"
"1","7","Wine Grapes (White)","7062","Albarino *",1500,"017200",4.1,"2","data_row"
"1","7","Wine Grapes (White)","7062","Albarino *",2600,"000100",1.2,"2","data_row"
"1","7","Wine Grapes (White)","7062","Albarino *",1749.06,"",5.3,"3","summary_row"
"1","7","Wine Grapes (White)","7054","Arneis",2000,"000100",6.2,"2","data_row"
"1","7","Wine Grapes (White)","7054","Arneis",2100,"000100",3.9,"2","data_row"
"1","7","Wine Grapes (White)","7054","Arneis",2800,"000100",4,"2","data_row"
"1","7","Wine Grapes (White)","7054","Arneis",2254.61,"",14.1,"3","summary_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",242.81,"013600",48.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",375,"000100",887,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",500,"000100",1217.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",500,"024500",3326.1,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",538.74,"024500",26.1,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",539.64,"000100",24.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",600,"024500",514.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",605.71,"000100",25.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",644.73,"000100",20.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",650,"000100",47.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",650,"024500",207.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",650.11,"024500",26.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",678.97,"024500",24.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",680.49,"000100",21,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",688.74,"024500",21,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",700,"000100",3074.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",700,"024500",445,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",731.92,"024500",20.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",738.5,"000100",23.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",748.85,"000100",25.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",825,"024500",85.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",830.32,"000100",22.1,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",872.69,"000100",9.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",875,"000100",181.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",886.4,"024500",24,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",887.07,"000100",21.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",975.67,"024500",24,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",998.68,"000100",25.1,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1000,"000100",149.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1000,"011100",2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1006.86,"000100",21.1,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1056.57,"000100",14.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1100,"024500",210.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1150,"000100",290.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1200,"000100",165.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1200,"020800",96.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1200,"024500",2576.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1225,"000100",170,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1250,"028400",1.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1300,"017200",90.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1300,"024500",115.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1350,"000100",135.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1350,"024500",173.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1366.86,"000100",155.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1375,"000100",475.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1375,"024500",439.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1376.41,"020800",86.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1387,"024500",138.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1400,"000100",279.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1400,"013600",18.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1400,"021200",514.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1403.45,"017800",146.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1407.77,"024500",300.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1425,"000100",201.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1449.12,"000100",429,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1450,"000100",93.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1462.99,"000100",22.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1475,"000100",314.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1490.01,"022900",125.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1491.5,"024500",124.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1500,"000100",258.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1500,"013600",16,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1550,"000100",35.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1550,"020800",46,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1561,"000100",35.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1581.3,"000100",91.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1591.35,"000100",27.4,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1600,"000100",490.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1600,"001900",55,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1600,"020800",109.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1626.41,"000100",73,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1644.21,"000100",93.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1650,"000100",91.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1650,"019100",160.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1653.68,"000100",60.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1700,"000100",91.8,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1700,"013600",163.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1729.13,"000100",30.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1750,"000100",178.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1756.21,"000100",994.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1800,"000100",112.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1800,"001900",20.6,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1800,"009100",5.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1800,"009530",4.5,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1800,"013600",2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1850,"000100",99.3,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1900,"000100",12.2,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",1950,"000100",21.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",2000,"000100",13.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",2000,"008100",1.7,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",2100,"000100",10.9,"2","data_row"
"1","7","Wine Grapes (White)","7004","Chardonnay *",2100,"009300",4.9,"2","data_row"
